"","species","nicheSize_GFDL","nicheSize_MPI","nicheSize_UKESM","nicheDensity_GFDL","nicheDensity_MPI","nicheDensity_UKESM"
"76","Cochemiea phitauiana",0.584651655606676,0.621490111095772,1.11300883449134,55410,50325,108313
"77","Cochemiea poselgeri",4.74461494529074,5.16879270338107,5.76822523047582,433097,435996,496615
"78","Cochemiea schumannii",1.47265895773766,1.40589724638887,2.07522592074403,147385,145014,172301
"79","Cochemiea tetrancistra",14.7575699276163,15.6375286580312,14.4242053321273,1401493,1298963,1634333
"80","Coleocephalocereus aureus",1.2774987516372,1.33302393772879,0.598790907510575,66149,107495,57051
"81","Coleocephalocereus goebelianus",1.86573074565517,2.04075194289092,1.29827816929605,99134,132726,112580
"82","Consolea moniliformis",2.67587609672216,2.46307316927012,3.30863784028757,237465,146099,223055
"83","Copiapoa atacamensis",1.21361105464781,1.30060259379235,0.354101691154202,67340,139678,32102
"84","Copiapoa cinerea",1.51408904318987,1.91324063598499,1.3150576787186,73579,118331,70886
"85","Copiapoa coquimbana",4.2844034567809,4.67886631672321,7.39469430992586,165942,300077,235501
"86","Copiapoa echinoides",0.99542767979362,1.09369932485418,0.371371656857003,20932,45898,16501
"87","Copiapoa humilis",1.28233444699614,1.57982298509638,2.39997091788612,47595,100828,180751
"88","Corryocactus aureus",2.37490144407115,2.46423262443088,1.19655852061799,35212,27795,97524
"89","Corryocactus brevistylus",43.8986200863404,44.9336480579637,26.0552707224516,2066481,2222058,2086137
"90","Corryocactus erectus",3.75536981549006,4.34988338171807,10.5045426831095,149884,311039,739684
"91","Corryocactus melanotrichus",7.90624504450017,8.75337811875838,5.29285518178807,169829,339244,220006
"92","Coryphantha bumamma",8.92298980895647,9.86853866812327,2.44954212553491,674415,673808,102743
"93","Coryphantha clavata",7.33963581948654,7.43248082436427,6.53034882941781,731810,531943,454500
"94","Coryphantha compacta",8.8162183374803,8.47447576303846,9.85052124900797,785106,617618,765941
"95","Coryphantha cornifera",12.2112220063673,11.7502053213954,10.2199541915035,1071951,913014,629969
"96","Coryphantha delaetiana",7.33737100430929,7.11516328168837,4.52737500018109,715498,619619,476972
"97","Coryphantha delicata",15.8430784923804,16.6452595163475,10.8201133423712,1319880,1350651,672595
"98","Coryphantha difficilis",1.52637420369301,1.61968934745001,0.82348806005013,159923,198392,66361
"99","Coryphantha durangensis",4.64929891649011,4.86554917694297,1.38879943096651,499064,365097,144130
"100","Coryphantha echinoidea",4.24732313083928,4.49776256955524,6.37279195642627,491228,288142,376994
"101","Coryphantha echinus",7.13290314945166,7.66692119270087,4.48426016030984,742556,639542,403218
"102","Coryphantha elephantidens",14.0830328574079,14.6111380445859,9.11406742254781,1121421,1000561,547729
"103","Coryphantha erecta",13.3162986342553,14.0723826412163,11.5447034370638,1139376,1003640,902667
"104","Coryphantha georgii",3.85758244476879,4.09181312379469,3.61876466610031,413073,207361,185428
"105","Coryphantha glanduligera",8.82197022856209,9.54522126129888,3.22846395897751,887934,832749,159701
"106","Coryphantha glassii",3.01645829641201,3.03203084523975,1.66398972268206,230952,121289,105772
"107","Coryphantha hintoniorum",1.37568677044984,1.52688418097278,1.93411487778803,167787,182310,107991
"108","Coryphantha neglecta",4.41308227573336,4.5796141184437,2.94514461865571,449843,519075,172743
